t, Vp, Vy, pitch, yaw, pitch_dot, yaw_dot, N/A
0.0200, -9.6811, 10.0777, -0.0458, -0.1012, -1.0471, -825.24, 1400.79
0.0400, -9.8948, 9.7504, -0.0415, -0.0997, -0.2468, -825.08, -1024.65
0.0600, -10.1084, 9.4230, -0.0371, -0.0982, 0.0527, -825.03, -1722.23
0.0800, -10.1072, 8.9760, -0.0327, -0.0951, 0.1543, -825.00, -2934.95
0.1000, -10.3203, 8.4252, -0.0262, -0.0920, 0.2659, -824.99, -2908.86
0.1200, -10.3185, 7.7547, -0.0196, -0.0874, 0.3116, -824.98, 1655.74
0.1400, -10.3167, 7.0842, -0.0131, -0.0828, 0.3190, -824.98, -587.57
0.1600, -10.3143, 6.1902, -0.0044, -0.0767, 0.4177, -824.97, -2856.68
0.1800, -10.0976, 5.4001, 0.0022, -0.0706, 0.3872, -824.97, -2701.75
0.2000, -9.8810, 4.6099, 0.0087, -0.0644, 0.3469, -824.97, 83.51
0.2200, -9.6638, 3.5963, 0.0175, -0.0568, 0.4216, -824.96, -535.19
0.2400, -9.2322, 2.6865, 0.0240, -0.0491, 0.3810, -824.96, -844.44
0.2600, -8.8007, 1.7767, 0.0305, -0.0414, 0.3383, -824.96, -2185.19
0.2800, -8.5835, 0.7631, 0.0393, -0.0337, 0.4185, -824.96, -3035.98
0.3000, -8.1520, -0.1467, 0.0458, -0.0261, 0.3979, -824.96, -4041.59
0.3200, -7.5062, -0.9527, 0.0502, -0.0184, 0.2813, -824.96, 419.95
0.3400, -6.8599, -1.9821, 0.0567, -0.0092, 0.2969, -824.96, 2354.12
0.3600, -6.2141, -2.7881, 0.0611, -0.0015, 0.2390, -824.96, -3834.69
0.3800, -5.5683, -3.5940, 0.0654, 0.0061, 0.2053, -824.96, 1658.26
0.4000, -4.9226, -4.4000, 0.0698, 0.0138, 0.1929, -824.96, 1503.74
0.4200, -4.2768, -5.2059, 0.0742, 0.0215, 0.2046, -824.96, -3137.92
0.4400, -3.4168, -5.9080, 0.0764, 0.0291, 0.1414, -824.96, -2518.82
0.4600, -2.7716, -6.4905, 0.0785, 0.0353, 0.1251, -824.96, -2028.65
0.4800, -2.1264, -7.0729, 0.0807, 0.0414, 0.1353, -824.97, 1194.89
0.5000, -1.2670, -7.5515, 0.0807, 0.0476, 0.0498, -824.97, 137.70
0.5200, -0.4076, -8.0301, 0.0807, 0.0537, 0.0183, -824.97, -119.97
0.5400, 0.4518, -8.5087, 0.0807, 0.0598, 0.0067, -824.97, -1615.45
0.5600, 1.3107, -8.7638, 0.0785, 0.0644, -0.0868, -824.97, -2363.09
0.5800, 1.9546, -8.8993, 0.0764, 0.0675, -0.1410, -824.98, -3033.36
0.6000, 2.5986, -9.0347, 0.0742, 0.0706, -0.1609, -824.98, -3600.59
0.6200, 3.2426, -9.1702, 0.0720, 0.0736, -0.1579, -824.99, -2156.38
0.6400, 3.8865, -9.3056, 0.0698, 0.0767, -0.1312, -824.98, 2150.24
0.6600, 4.3151, -9.0979, 0.0654, 0.0767, -0.1865, -824.99, -248.00
0.6800, 4.9584, -9.0099, 0.0611, 0.0782, -0.2438, -824.99, -1717.79
0.7000, 5.3870, -8.8022, 0.0567, 0.0782, -0.2649, -825.00, -1073.10
0.7200, 5.6006, -8.4749, 0.0524, 0.0767, -0.2726, -825.01, 1479.86
0.7400, 5.8143, -8.1475, 0.0480, 0.0752, -0.2755, -825.01, -866.80
0.7600, 6.0279, -7.8202, 0.0436, 0.0736, -0.2599, -825.01, 422.57
0.7800, 6.0267, -7.3732, 0.0393, 0.0706, -0.2390, -825.02, 1918.15
0.8000, 6.0255, -6.9262, 0.0349, 0.0675, -0.2177, -825.02, 267.65
0.8200, 6.2386, -6.3753, 0.0284, 0.0644, -0.3066, -825.02, -712.38
0.8400, 6.0226, -5.8087, 0.0240, 0.0598, -0.2776, -825.02, -170.94
0.8600, 6.0214, -5.3617, 0.0196, 0.0568, -0.2606, -825.02, -4064.96
0.8800, 5.8053, -4.7950, 0.0153, 0.0522, -0.2308, -825.02, -1176.86
0.9000, 5.3744, -4.1088, 0.0109, 0.0460, -0.2232, -825.03, -403.43
0.9200, 5.1583, -3.5421, 0.0065, 0.0414, -0.2119, -825.03, -790.35
0.9400, 4.7274, -2.8558, 0.0022, 0.0353, -0.2308, -825.03, -3446.57
0.9600, 4.5114, -2.2892, -0.0022, 0.0307, -0.2538, -825.03, 1040.27
0.9800, 3.8662, -1.7067, -0.0044, 0.0245, -0.1664, -825.03, -3369.61
1.0000, 3.4359, -1.2439, -0.0065, 0.0199, -0.1211, -825.03, -919.89
1.0200, 3.0050, -0.5576, -0.0109, 0.0138, -0.1696, -825.03, 2355.03
1.0400, 2.5747, -0.0948, -0.0131, 0.0092, -0.1432, -825.03, 1297.64
1.0600, 2.1444, 0.3680, -0.0153, 0.0046, -0.1420, -825.02, 2432.09
1.0800, 1.2850, 0.8466, -0.0153, -0.0015, -0.0522, -825.03, -868.82
1.1000, 0.8546, 1.3094, -0.0175, -0.0061, -0.0635, -825.03, -2416.17
1.1200, 0.4249, 1.5487, -0.0175, -0.0092, -0.0234, -825.02, -2571.00
1.1400, -0.0054, 2.0115, -0.0196, -0.0138, -0.0979, -825.02, 2328.53
1.1600, -0.6500, 2.3704, -0.0196, -0.0184, -0.0360, -825.02, -1178.77
1.1800, -1.2939, 2.5059, -0.0175, -0.0215, 0.0855, -825.02, -1256.14
1.2000, -1.7236, 2.7452, -0.0175, -0.0245, 0.0314, -825.02, -2313.53
1.2200, -2.1527, 2.7610, -0.0153, -0.0261, 0.1103, -825.01, -1333.60
1.2400, -2.5825, 3.0003, -0.0153, -0.0291, 0.0405, -825.02, -689.01
1.2600, -3.0116, 3.0161, -0.0131, -0.0307, 0.0691, -825.01, -1901.13
1.2800, -3.4407, 3.0319, -0.0109, -0.0322, 0.0915, -825.01, -1333.90
1.3000, -3.6549, 2.9281, -0.0087, -0.0322, 0.0998, -825.00, 651.74
1.3200, -3.8692, 2.8242, -0.0065, -0.0322, 0.0909, -825.00, 239.14
1.3400, -4.2977, 2.6165, -0.0022, -0.0322, 0.1915, -825.00, 1631.67
1.3600, -4.5120, 2.5127, 0.0000, -0.0322, 0.1597, -825.00, -4118.96
1.3800, -4.5114, 2.2892, 0.0022, -0.0307, 0.1249, -824.99, 342.29
1.4000, -4.9399, 2.0815, 0.0065, -0.0307, 0.1936, -825.00, -3783.72
1.4200, -4.9393, 1.8580, 0.0087, -0.0291, 0.1520, -825.00, -70.31
1.4400, -4.9381, 1.4110, 0.0131, -0.0261, 0.2191, -824.99, 522.90
1.4600, -4.9375, 1.1875, 0.0153, -0.0245, 0.1614, -824.99, 1219.17
1.4800, -4.9369, 0.9640, 0.0175, -0.0230, 0.1255, -824.99, -2339.41
